test_id,wind_sensor_unit,s_r,position,room_type,loc,
5,12,s,h,bedroom,window,
5,10,s,v,bedroom,window,
5,5,r,h,bedroom,window,
5,7,r,v,bedroom,window,
6,12,s,h,bedroom,window,
6,10,s,v,bedroom,window,
6,5,r,h,bedroom,window,
6,7,r,v,bedroom,window,
7,12,s,h,bedroom,window,
7,10,s,v,bedroom,window,
7,5,r,h,bedroom,window,
7,7,r,v,bedroom,window,
8,12,s,h,bedroom,window,
8,10,s,v,bedroom,window,
8,5,r,h,bedroom,window,
8,7,r,v,bedroom,window,
9,12,s,h,bedroom,window,
9,10,s,v,bedroom,window,
9,5,r,h,bedroom,window,
9,7,r,v,bedroom,window,
9,11,,h,living_room,window,the MARKER was facing to outside of the room.
9,1,,v,living_room,window,
10,12,s,h,bedroom,window,
10,10,s,v,bedroom,window,
10,5,r,h,bedroom,window,
10,7,r,v,bedroom,window,
10,11,,h,living_room,window,
10,1,,v,living_room,window,
11,12,s,h,bedroom,window,
11,10,s,v,bedroom,window,
11,5,r,h,bedroom,window,
11,7,r,v,bedroom,window,
11,11,,h,living_room,window,
11,1,,v,living_room,window,
12,12,s,h,bedroom,window,
12,10,s,v,bedroom,window,
12,5,r,h,bedroom,window,
12,7,r,v,bedroom,window,
12,11,,h,living_room,window,
12,1,,v,living_room,window,
13,11,s,h,living_room,window,
13,1,s,v,living_room,window,
13,5,r,h,living_room,window,
13,7,r,v,living_room,window,
13,12,,h,bedroom,window,
13,10,,v,bedroom,window,
14,11,s,h,living_room,window,
14,1,s,v,living_room,window,
14,5,r,h,living_room,window,
14,7,r,v,living_room,window,
15,11,s,h,living_room,window,
15,1,s,v,living_room,window,
15,5,r,h,living_room,window,
15,7,r,v,living_room,window,
16,11,s,h,living_room,window,
16,1,s,v,living_room,window,
16,5,r,h,living_room,window,
16,7,r,v,living_room,window,
17A,11,s,h,living_room,window,
17A,1,s,v,living_room,window,
17A,5,r,h,living_room,window,
17A,7,r,v,living_room,window,
17B,11,s,h,living_room,window,
17B,1,s,v,living_room,window,
17B,5,r,h,living_room,window,
17B,7,r,v,living_room,window,
18,11,s,h,living_room,window,
18,1,s,v,living_room,window,
18,5,r,h,living_room,window,
18,7,r,v,living_room,window,
19,11,s,h,living_room,window,
19,1,s,v,living_room,window,
19,5,r,h,living_room,window,
19,7,r,v,living_room,window,
20,11,s,h,living_room,window,
20,1,s,v,living_room,window,
20,5,r,h,living_room,window,
20,7,r,v,living_room,window,
21,12,s,h,bedroom,window,
21,10,s,v,bedroom,window,
21,5,r,h,bedroom,window,
21,7,r,v,bedroom,window,
21,11,,h,living_room,window,
21,1,,v,living_room,window,
22,11,s,h,bedroom,window,
22,1,s,v,bedroom,window,
22,5,r,h,bedroom,window,
22,7,r,v,bedroom,window,
22,12,,h,living_room,window,
22,10,,v,living_room,window,
23,11,s,h,bedroom,window,
23,1,s,v,bedroom,window,
23,5,r,h,bedroom,window,
23,7,r,v,bedroom,window,
23,12,,h,living_room,window,
23,10,,v,living_room,window,
24,11,s,h,bedroom,window,
24,1,s,v,bedroom,window,
24,5,r,h,bedroom,window,
24,7,r,v,bedroom,window,
24,12,,h,living_room,window,
24,10,,v,living_room,window,
25,11,s,h,bedroom,window,
25,1,s,v,bedroom,window,
25,5,r,h,bedroom,window,
25,7,r,v,bedroom,window,
25,12,,h,living_room,window,
25,10,,v,living_room,window,
