datetime,vel,temperature,RH,equip_unit,s_r,loc,date_id
2023-05-22T14:50:59Z,0.2,31.4,65.7,VC-G,R,Window,220523
2023-05-22T14:51:59Z,0.18,31.4,65.8,VC-G,R,Window,220523
2023-05-22T14:52:59Z,0.19,31.5,66.2,VC-G,R,Window,220523
2023-05-22T14:53:59Z,0.15,31.5,65.6,VC-G,R,Window,220523
2023-05-22T14:54:59Z,0.24,31.5,65.7,VC-G,R,Window,220523
2023-05-22T14:55:59Z,0.21,31.4,65.7,VC-G,R,Window,220523
2023-05-22T14:56:59Z,0.25,31.4,66,VC-G,R,Window,220523
2023-05-22T14:57:59Z,0.25,31.3,64.4,VC-G,R,Window,220523
2023-05-22T14:58:59Z,0.27,31.3,63.8,VC-G,R,Window,220523
2023-05-22T14:59:59Z,0.23,31.3,64.7,VC-G,R,Window,220523
2023-05-22T15:00:59Z,0.2,31.3,65.5,VC-G,R,Window,220523
2023-05-22T15:01:59Z,0.24,31.3,65.9,VC-G,R,Window,220523
2023-05-22T15:02:59Z,0.14,31.3,66.5,VC-G,R,Window,220523
2023-05-22T15:03:59Z,0.23,31.3,66.7,VC-G,R,Window,220523
2023-05-22T15:04:59Z,0.31,31.2,65.7,VC-G,R,Window,220523
2023-05-22T15:05:59Z,0.26,31.1,65.7,VC-G,R,Window,220523
2023-05-22T15:06:59Z,0.21,31.1,65.9,VC-G,R,Window,220523
2023-05-22T15:07:59Z,0.18,31.2,66.1,VC-G,R,Window,220523
2023-05-22T15:08:59Z,0.2,31.2,66.2,VC-G,R,Window,220523
2023-05-22T15:09:59Z,0.15,31.3,66.2,VC-G,R,Window,220523
2023-05-22T15:10:59Z,0.18,31.3,66.2,VC-G,R,Window,220523
2023-05-22T15:11:59Z,0.24,31.3,66.2,VC-G,R,Window,220523
2023-05-22T15:12:59Z,0.25,31.3,66,VC-G,R,Window,220523
2023-05-22T15:13:59Z,0.19,31.4,66.2,VC-G,R,Window,220523
2023-05-22T15:14:59Z,0.21,31.4,65.5,VC-G,R,Window,220523
2023-05-22T15:15:59Z,0.2,31.4,66.1,VC-G,R,Window,220523
