datetime,equip_unit,vel,temp,rh
2023-05-22T14:50:00Z,G,0.2,31.4,65.7
2023-05-22T14:51:00Z,G,0.18,31.4,65.8
2023-05-22T14:52:00Z,G,0.19,31.5,66.2
2023-05-22T14:53:00Z,G,0.15,31.5,65.6
2023-05-22T14:54:00Z,G,0.24,31.5,65.7
2023-05-22T14:55:00Z,G,0.21,31.4,65.7
2023-05-22T14:56:00Z,G,0.25,31.4,66
2023-05-22T14:57:00Z,G,0.25,31.3,64.4
2023-05-22T14:58:00Z,G,0.27,31.3,63.8
2023-05-22T14:59:00Z,G,0.23,31.3,64.7
2023-05-22T15:00:00Z,G,0.2,31.3,65.5
2023-05-22T15:01:00Z,G,0.24,31.3,65.9
2023-05-22T15:02:00Z,G,0.14,31.3,66.5
2023-05-22T15:03:00Z,G,0.23,31.3,66.7
2023-05-22T15:04:00Z,G,0.31,31.2,65.7
2023-05-22T15:05:00Z,G,0.26,31.1,65.7
2023-05-22T15:06:00Z,G,0.21,31.1,65.9
2023-05-22T15:07:00Z,G,0.18,31.2,66.1
2023-05-22T15:08:00Z,G,0.2,31.2,66.2
2023-05-22T15:09:00Z,G,0.15,31.3,66.2
2023-05-22T15:10:00Z,G,0.18,31.3,66.2
2023-05-22T15:11:00Z,G,0.24,31.3,66.2
2023-05-22T15:12:00Z,G,0.25,31.3,66
2023-05-22T15:13:00Z,G,0.19,31.4,66.2
2023-05-22T15:14:00Z,G,0.21,31.4,65.5
2023-05-22T15:15:00Z,G,0.2,31.4,66.1
2023-05-22T15:16:00Z,G,0.23,31.5,65.7
2023-05-22T15:17:00Z,G,0.21,31.6,65.7
2023-05-22T15:18:00Z,G,0.16,31.7,65.5
2023-05-22T15:19:00Z,G,0.23,31.7,65.7
2023-05-22T15:20:00Z,G,0.25,31.6,65.7
2023-05-22T15:21:00Z,G,0.22,31.5,65.8
2023-05-22T15:22:00Z,G,0.2,31.6,65.6
2023-05-22T15:23:00Z,G,0.24,31.6,65.9
2023-05-22T15:24:00Z,G,0.29,31.5,65.6
2023-05-22T15:25:00Z,G,0.22,31.5,65.1
2023-05-22T15:26:00Z,G,0.18,31.5,65.3
2023-05-22T15:27:00Z,G,0.16,31.6,65
2023-05-22T15:28:00Z,G,0.21,31.6,65.4
2023-05-22T15:29:00Z,G,0.23,31.6,65.4
2023-05-22T15:30:00Z,G,0.26,31.6,65.8
2023-05-22T15:31:00Z,G,0.27,31.5,66
2023-05-22T15:32:00Z,G,0.28,31.5,66.2
2023-05-22T15:33:00Z,G,0.21,31.5,65.8
2023-05-22T15:34:00Z,G,0.25,31.5,66
2023-05-22T15:35:00Z,G,0.16,31.5,65.9
2023-05-22T15:36:00Z,G,0.24,31.6,65.5
2023-05-22T14:56:00Z,I,0.23,30.2,71.8
2023-05-22T14:57:00Z,I,0.28,30.2,71.7
2023-05-22T14:58:00Z,I,0.21,30.2,71.4
2023-05-22T14:59:00Z,I,0.25,30.2,71.3
2023-05-22T15:00:00Z,I,0.32,30.2,71.6
2023-05-22T15:01:00Z,I,0.51,30.1,71.4
2023-05-22T15:02:00Z,I,0.52,30.1,71.5
2023-05-22T15:03:00Z,I,0.33,30.1,71.7
2023-05-22T15:04:00Z,I,0.33,30.1,71.9
2023-05-22T15:05:00Z,I,0.42,30.1,71.9
2023-05-22T15:06:00Z,I,0.41,30.1,71.6
2023-05-22T15:07:00Z,I,0.29,30.1,71.3
2023-05-22T15:08:00Z,I,0.38,30.1,71.1
2023-05-22T15:09:00Z,I,0.32,30.1,71.1
2023-05-22T15:10:00Z,I,0.4,30.1,71.1
2023-05-22T15:11:00Z,I,0.47,30.1,71.2
2023-05-22T15:12:00Z,I,0.31,30.1,71.3
2023-05-22T15:13:00Z,I,0.26,30.1,71.5
2023-05-22T15:14:00Z,I,0.45,30.1,71.5
2023-05-22T15:15:00Z,I,0.49,30.1,71.7
2023-05-22T15:16:00Z,I,0.39,30.1,71.8
2023-05-22T15:17:00Z,I,0.37,30.1,72
2023-05-22T15:18:00Z,I,0.42,30.1,71.9
2023-05-22T15:19:00Z,I,0.39,30.2,72.1
2023-05-22T15:20:00Z,I,0.44,30.1,72.2
2023-05-22T15:21:00Z,I,0.52,30.1,72.3
2023-05-22T15:22:00Z,I,0.37,30.2,72.3
2023-05-22T15:23:00Z,I,0.36,30.2,72
2023-05-22T15:24:00Z,I,0.32,30.2,71.8
2023-05-22T15:25:00Z,I,0.43,30.2,71.7
2023-05-22T15:26:00Z,I,0.32,30.2,71.4
2023-05-22T15:27:00Z,I,0.34,30.2,71
2023-05-22T15:28:00Z,I,0.26,30.2,71
2023-05-22T15:29:00Z,I,0.24,30.2,71.1
2023-05-22T15:30:00Z,I,0.5,30.2,71.2
2023-05-22T15:31:00Z,I,0.46,30.2,71.4
2023-05-22T15:32:00Z,I,0.36,30.2,71.5
2023-05-22T15:33:00Z,I,0.32,30.2,71.6
2023-05-22T15:34:00Z,I,0.43,30.2,71.6
2023-05-22T15:35:00Z,I,0.47,30.2,71.7
2023-05-22T15:36:00Z,I,0.41,30.2,71.9
2023-05-22T15:37:00Z,I,0.36,30.1,72
2023-05-22T15:38:00Z,I,0.27,30.2,71.9
2023-05-22T12:50:00Z,O,0.32,29.8,75.2
2023-05-22T12:51:00Z,O,0.29,29.8,75.6
2023-05-22T12:52:00Z,O,0.27,29.8,75.8
2023-05-22T12:53:00Z,O,0.32,29.8,75.1
2023-05-22T12:54:00Z,O,0.29,29.8,75.1
2023-05-22T12:55:00Z,O,0.31,29.8,75.2
2023-05-22T12:56:00Z,O,0.27,29.8,75.2
2023-05-22T12:57:00Z,O,0.29,29.8,74.6
2023-05-22T12:58:00Z,O,0.29,29.8,73.9
2023-05-22T12:59:00Z,O,0.27,29.8,73.6
2023-05-22T13:00:00Z,O,0.32,29.8,73.4
2023-05-22T13:01:00Z,O,0.26,29.8,73
2023-05-22T13:02:00Z,O,0.28,29.8,72.9
2023-05-22T13:03:00Z,O,0.29,29.8,72.8
2023-05-22T13:04:00Z,O,0.29,29.8,72.7
2023-05-22T13:05:00Z,O,0.3,29.8,72.7
2023-05-22T13:06:00Z,O,0.26,29.8,72.8
2023-05-22T13:07:00Z,O,0.29,29.7,72.9
2023-05-22T13:08:00Z,O,0.3,29.8,73
2023-05-22T13:09:00Z,O,0.3,29.7,73.2
2023-05-22T13:10:00Z,O,0.33,29.7,73.2
2023-05-22T13:11:00Z,O,0.34,29.8,73.1
2023-05-22T13:12:00Z,O,0.3,29.8,73
2023-05-22T13:13:00Z,O,0.27,29.8,72.9
2023-05-22T13:14:00Z,O,0.27,29.8,72.8
2023-05-22T13:15:00Z,O,0.29,29.8,72.9
2023-05-22T13:16:00Z,O,0.28,29.8,72.8
2023-05-22T13:17:00Z,O,0.28,29.8,72
2023-05-22T13:18:00Z,O,0.3,29.8,71.6
2023-05-22T13:19:00Z,O,0.26,29.8,71.5
2023-05-22T13:20:00Z,O,0.25,29.8,71.6
2023-05-22T13:21:00Z,O,0.31,29.8,71.6
2023-05-22T13:22:00Z,O,0.25,29.8,71.6
2023-05-22T13:23:00Z,O,0.24,29.8,71.7
2023-05-22T13:24:00Z,O,0.28,29.8,71.7
2023-05-22T13:25:00Z,O,0.29,29.8,71.6
2023-05-22T13:26:00Z,O,0.27,29.9,71.6
2023-05-22T13:27:00Z,O,0.27,29.9,71.4
2023-05-22T13:28:00Z,O,0.3,29.9,71.3
2023-05-22T13:29:00Z,O,0.3,29.9,71.3
2023-05-22T13:30:00Z,O,0.3,29.9,71.3
2023-05-22T13:31:00Z,O,0.29,29.9,71.3
2023-05-22T13:32:00Z,O,0.29,29.9,71.2
2023-05-22T13:33:00Z,O,0.28,29.9,71.1
2023-05-22T13:34:00Z,O,0.3,29.9,70.9
2023-05-22T13:35:00Z,O,0.31,29.9,70.7
2023-05-22T13:36:00Z,O,0.29,29.9,70.6
2023-05-22T13:37:00Z,O,0.29,29.9,70.6
2023-05-22T13:38:00Z,O,0.31,29.9,70.4
2023-05-22T13:39:00Z,O,0.3,29.9,70.3
2023-05-22T13:40:00Z,O,0.3,29.9,70.3
2023-05-22T13:41:00Z,O,0.32,29.9,70.5
2023-05-22T13:42:00Z,O,0.3,29.9,70.5
2023-05-22T13:43:00Z,O,0.29,29.9,70.4
2023-05-22T13:44:00Z,O,0.28,29.9,70.3
2023-05-22T13:45:00Z,O,0.28,29.9,70.4
2023-05-22T13:46:00Z,O,0.29,29.9,70.5
2023-05-22T13:47:00Z,O,0.28,29.9,70.6
2023-05-22T13:48:00Z,O,0.29,29.9,70.7
2023-05-22T13:49:00Z,O,0.29,29.9,70.8
2023-05-22T13:50:00Z,O,0.29,29.9,70.8
2023-05-22T13:51:00Z,O,0.3,30,70.8
2023-05-22T13:52:00Z,O,0.31,30,70.7
2023-05-22T13:53:00Z,O,0.27,30,70.2
2023-05-22T13:54:00Z,O,0.31,30,70
2023-05-22T13:55:00Z,O,0.29,30,70.1
2023-05-22T13:56:00Z,O,0.3,30,70.2
2023-05-22T13:57:00Z,O,0.3,30,70.4
