exp_id,test_id,exp_date,start_time,end_time,sf6_rate,building_type,scenario,note,test_type,receptor_door
1,1,24-Mar-23,03:00pm,05:00pm,,L-shape,"L-Shape, Day time, Door closed (No wind sensor, no VC and no flow meter)","It was the first trial run. There was no flow control and measurement, no wind sensor, no temp and RH measurement.",Trial,closed
2,2,31-Mar-23,06:00pm,07:30pm,2.5,L-shape,"L-Shape, Night time, Door closed (No wind sensor)",It was raining from 07:30pm and thus the test was stopped.,Trial,closed
3,3,3-Apr-23,05:00pm,09:00pm,1.5,L-shape,"L-Shape, Night time, Door closed (No wind sensor)",,Trial,closed
4,4,6-Apr-23,12:18pm,04:00pm,1.5,L-shape,"L-Shape, Day time, Door closed (No wind sensor)",,Trial,closed
5,4,6-Apr-23,04:00pm,04:40pm,5,L-shape,"L-Shape, Day time, Door closed (No wind sensor)","Increase flow rate to 5ml/min at 04:00pm to verify the receptor room��s measurement, as the readings of receptor room were quite low.",Trial,closed
6,5,21-Apr-23,11:40am,02:50pm,1.5,L-shape,"L-Shape, Day time, Door closed",R_room tubing was connected to Chanel 03 and R_window tubing was connected to Chanel 04.,Test,closed
7,6,3-May-23,11:30am,03:00pm,1.5,L-shape,"L-Shape, Day time, Door closed",,Test,closed
8,6,3-May-23,03:00pm,04:00pm,0,L-shape,"L-Shape, Day time, Door closed","It was raining during 03:00pm �C 03:30pm. The dose of gas was stopped during 03:00pm �C 04:00pm, and the INNOVA was continuously monitoring.",ACH,closed
9,7,3-May-23,04:00pm,07:30pm,1.5,L-shape,"L-Shape, Day time, Door closed",,Test,closed
10,8,4-May-23,10:30am,09:00pm,1.5,L-shape,"L-Shape, Day time, Door open; L-Shape, Night time, Door open",It was raining during 12:45pm �C 02:05pm. The downstair tubing was placed at inside of source room during 12:45pm to 02:05pm. The reading of Chanel 5 was representative the source room as the same as Chanel 1.,Test,open
11,9,10-May-23,10:30am,07:30pm,1.5,L-shape,"L-Shape, Day time, Door open; L-Shape, Night time, Door open",,Test,open
12,9,10-May-23,07:30pm,07:45pm,0,L-shape,"L-Shape, Day time, Door open; L-Shape, Night time, Door open","Gas was finished at 07:30pm. 
Wind sensor of living for horizontal direction was facing different with the other horizontal wind sensors, where the symbol was facing to outside of the room.",ACH,open
13,10,15-May-23,10:48am,09:00pm,1.5,L-shape,"L-Shape, Day time, Door closed; L-Shape, Night time, Door closed",The initial gas flow was up to about 10ml/min in the first 1 min.,Test,closed
14,11,17-May-23,11:35am,09:00pm,1.5,L-shape,"L-Shape, Day time, Door open;    L-Shape, Night time, Door open",,Test,open
15,12,18-May-23,06:15pm,09:30pm,1.5,L-shape,"L-Shape, Night time, Door closed","The gas was changed with a new cylinder, and the gas flow was unstable with fluctuation from the 0.9 L/min to 1.8 L/min. The SF6 concentration in the source room was relatively stable.",Test,closed
16,13,22-May-23,01:00pm,03:00pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door closed; (both bedroom windows were opened)","The gas tank was located at the level 3 living room, which is the receptor room. The SF6 dosed to level 2 living room by a tube connected to the flow controlling parts. The gas flow rate can not be maintained and was keeping dropping. The test was stopped at 3pm.",Invalid,closed
17,14,24-May-23,12:55pm,09:00pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door closed;  Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 3 living room, which is the receptor room. The SF6 dosed to level 2 living room by a tube connected to the flow controlling parts. The flow meter in the living room was found to be leaking. The gas flow was stopped but the INNOVA system was continuously monitoring during trouble shooting. After fixing the leakage, the door of the receptor room was opened to reduce the SF6 concentration.",Invalid,closed
